Type,Function,Digit,Time(ms)
u64toa_sequential,sprintf,18,16.525000
u64toa_sequential,sprintf,19,17.258000
u64toa_sequential,sprintf,20,14.665000
u64toa_random,sprintf,0,298.553000
u64toa_sequential,mwilson,1,1.585000
u64toa_sequential,mwilson,2,2.715000
u64toa_sequential,mwilson,3,3.897000
u64toa_sequential,mwilson,4,5.127000
u64toa_sequential,mwilson,5,6.340000
u64toa_sequential,mwilson,6,7.574000
u64toa_sequential,mwilson,7,8.743000
u64toa_sequential,mwilson,8,10.002000
u64toa_sequential,mwilson,9,11.240000
u64toa_sequential,mwilson,10,13.800000
u64toa_sequential,mwilson,11,13.714000
u64toa_sequential,mwilson,12,15.560000
u64toa_sequential,mwilson,13,17.461000
u64toa_sequential,mwilson,14,19.304000
u64toa_sequential,mwilson,15,21.200000
u64toa_sequential,mwilson,16,23.683000
u64toa_sequential,mwilson,17,24.919000
u64toa_sequential,mwilson,18,26.584000
u64toa_sequential,mwilson,19,28.519000
u64toa_sequential,mwilson,20,30.452000
u64toa_random,mwilson,0,323.246000
u64toa_sequential,countlut,1,0.680000
u64toa_sequential,countlut,2,0.642000
u64toa_sequential,countlut,3,0.752000
u64toa_sequential,countlut,4,0.782000
u64toa_sequential,countlut,5,0.925000
u64toa_sequential,countlut,6,0.952000
u64toa_sequential,countlut,7,1.103000
u64toa_sequential,countlut,8,1.122000
u64toa_sequential,countlut,9,2.282000
u64toa_sequential,countlut,10,2.322000
u64toa_sequential,countlut,11,2.456000
u64toa_sequential,countlut,12,2.475000
u64toa_sequential,countlut,13,2.590000
u64toa_sequential,countlut,14,2.638000
u64toa_sequential,countlut,15,2.786000
u64toa_sequential,countlut,16,2.836000
u64toa_sequential,countlut,17,3.942000
u64toa_sequential,countlut,18,3.947000
u64toa_sequential,countlut,19,4.989000
u64toa_sequential,countlut,20,5.051000
u64toa_random,countlut,0,68.537000
u64toa_sequential,branchlut,1,0.503000
u64toa_sequential,branchlut,2,0.531000
u64toa_sequential,branchlut,3,0.529000
u64toa_sequential,branchlut,4,0.534000
u64toa_sequential,branchlut,5,0.808000
u64toa_sequential,branchlut,6,0.870000
u64toa_sequential,branchlut,7,0.884000
u64toa_sequential,branchlut,8,0.904000
u64toa_sequential,branchlut,9,2.471000
u64toa_sequential,branchlut,10,2.647000
u64toa_sequential,branchlut,11,2.565000
u64toa_sequential,branchlut,12,2.557000
u64toa_sequential,branchlut,13,2.594000
u64toa_sequential,branchlut,14,2.562000
u64toa_sequential,branchlut,15,2.638000
u64toa_sequential,branchlut,16,2.709000
u64toa_sequential,branchlut,17,5.209000
u64toa_sequential,branchlut,18,5.204000
u64toa_sequential,branchlut,19,5.226000
u64toa_sequential,branchlut,20,5.346000
u64toa_random,branchlut,0,67.190000
u64toa_sequential,count,1,1.665000
u64toa_sequential,count,2,2.827000
u64toa_sequential,count,3,3.882000
u64toa_sequential,count,4,5.017000
u64toa_sequential,count,5,6.023000
u64toa_sequential,count,6,7.127000
u64toa_sequential,count,7,8.323000
u64toa_sequential,count,8,9.456000
u64toa_sequential,count,9,10.526000
u64toa_sequential,count,10,11.770000
u64toa_sequential,count,11,12.871000
u64toa_sequential,count,12,15.269000
u64toa_sequential,count,13,16.724000
u64toa_sequential,count,14,18.385000
u64toa_sequential,count,15,20.084000
u64toa_sequential,count,16,21.840000
u64toa_sequential,count,17,23.529000
u64toa_sequential,count,18,25.569000
u64toa_sequential,count,19,27.146000
u64toa_sequential,count,20,28.901000
u64toa_random,count,0,301.913000
u64toa_sequential,sse2,1,0.467000
u64toa_sequential,sse2,2,0.561000
u64toa_sequential,sse2,3,0.581000
u64toa_sequential,sse2,4,0.588000
u64toa_sequential,sse2,5,0.791000
u64toa_sequential,sse2,6,0.928000
u64toa_sequential,sse2,7,0.932000
u64toa_sequential,sse2,8,0.955000
u64toa_sequential,sse2,9,2.227000
u64toa_sequential,sse2,10,2.152000
u64toa_sequential,sse2,11,2.161000
u64toa_sequential,sse2,12,2.159000
u64toa_sequential,sse2,13,2.160000
u64toa_sequential,sse2,14,2.160000
u64toa_sequential,sse2,15,2.144000
u64toa_sequential,sse2,16,2.100000
u64toa_sequential,sse2,17,4.402000
u64toa_sequential,sse2,18,4.411000
u64toa_sequential,sse2,19,4.580000
u64toa_sequential,sse2,20,4.654000
u64toa_random,sse2,0,69.150000
i64toa_sequential,null,1,0.347000
i64toa_sequential,null,2,0.352000
i64toa_sequential,null,3,0.345000
i64toa_sequential,null,4,0.344000
i64toa_sequential,null,5,0.342000
i64toa_sequential,null,6,0.332000
i64toa_sequential,null,7,0.333000
i64toa_sequential,null,8,0.336000
i64toa_sequential,null,9,0.327000
i64toa_sequential,null,10,0.336000
i64toa_sequential,null,11,0.330000
i64toa_sequential,null,12,0.318000
i64toa_sequential,null,13,0.326000
i64toa_sequential,null,14,0.337000
i64toa_sequential,null,15,0.318000
i64toa_sequential,null,16,0.318000
i64toa_sequential,null,17,0.331000
i64toa_sequential,null,18,0.319000
i64toa_sequential,null,19,0.321000
i64toa_sequential,null,20,0.318000
i64toa_random,null,0,3.698000
i64toa_sequential,lut,1,0.934000
i64toa_sequential,lut,2,0.980000
i64toa_sequential,lut,3,2.114000
i64toa_sequential,lut,4,2.200000
i64toa_sequential,lut,5,3.355000
i64toa_sequential,lut,6,3.431000
i64toa_sequential,lut,7,4.590000
