Type,Function,Digit,Time(ns)
u64toa_sequential,branchlut2,18,19.474058
u64toa_sequential,branchlut2,19,20.211034
u64toa_sequential,branchlut2,20,20.289199
u64toa_random,branchlut2,0,24.444744
u64toa_sequential,naive,1,4.455361
u64toa_sequential,naive,2,7.347437
u64toa_sequential,naive,3,10.038519
u64toa_sequential,naive,4,13.042259
u64toa_sequential,naive,5,16.291657
u64toa_sequential,naive,6,19.507556
u64toa_sequential,naive,7,23.024946
u64toa_sequential,naive,8,26.319010
u64toa_sequential,naive,9,29.702404
u64toa_sequential,naive,10,32.962969
u64toa_sequential,naive,11,36.491525
u64toa_sequential,naive,12,39.137942
u64toa_sequential,naive,13,44.017623
u64toa_sequential,naive,14,47.557346
u64toa_sequential,naive,15,51.085902
u64toa_sequential,naive,16,54.703789
u64toa_sequential,naive,17,58.366341
u64toa_sequential,naive,18,62.397382
u64toa_sequential,naive,19,66.294426
u64toa_sequential,naive,20,68.929677
u64toa_random,naive,0,51.383484
u64toa_sequential,null,1,2.222097
u64toa_sequential,null,2,2.222097
u64toa_sequential,null,3,2.222097
u64toa_sequential,null,4,2.222097
u64toa_sequential,null,5,2.222097
u64toa_sequential,null,6,2.222097
u64toa_sequential,null,7,2.222097
u64toa_sequential,null,8,2.222097
u64toa_sequential,null,9,2.222097
u64toa_sequential,null,10,2.222097
u64toa_sequential,null,11,2.222097
u64toa_sequential,null,12,2.222097
u64toa_sequential,null,13,2.222097
u64toa_sequential,null,14,2.222097
u64toa_sequential,null,15,2.222097
u64toa_sequential,null,16,2.222097
u64toa_sequential,null,17,2.222097
u64toa_sequential,null,18,2.222097
u64toa_sequential,null,19,2.222097
u64toa_sequential,null,20,2.222097
u64toa_random,null,0,2.229355
u64toa_sequential,sse2,1,5.192338
u64toa_sequential,sse2,2,7.425601
u64toa_sequential,sse2,3,7.794090
u64toa_sequential,sse2,4,6.722123
u64toa_sequential,sse2,5,10.764330
u64toa_sequential,sse2,6,11.177484
u64toa_sequential,sse2,7,12.026124
u64toa_sequential,sse2,8,12.104288
u64toa_sequential,sse2,9,16.905805
u64toa_sequential,sse2,10,16.849973
u64toa_sequential,sse2,11,16.905805
u64toa_sequential,sse2,12,16.905805
u64toa_sequential,sse2,13,16.950470
u64toa_sequential,sse2,14,16.950470
u64toa_sequential,sse2,15,16.950470
u64toa_sequential,sse2,16,16.626647
u64toa_sequential,sse2,17,14.918200
u64toa_sequential,sse2,18,15.152693
u64toa_sequential,sse2,19,16.760642
u64toa_sequential,sse2,20,17.352457
u64toa_random,sse2,0,28.736518
i64toa_sequential,amartin,1,8.173744
i64toa_sequential,amartin,2,8.542233
i64toa_sequential,amartin,3,10.027353
i64toa_sequential,amartin,4,10.027353
i64toa_sequential,amartin,5,10.027353
i64toa_sequential,amartin,6,10.027353
i64toa_sequential,amartin,7,11.143985
i64toa_sequential,amartin,8,11.322646
i64toa_sequential,amartin,9,12.796600
i64toa_sequential,amartin,10,12.651438
